State,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010
Alabama,2326653,1121817,166393,342861,315136,297427,1204836,158459,369571,372012,304794,790044,350847,76902,133600,96601,43744,439197,78164,130917,148165,81951,16476,7573,1663,2226,2385,1299,8903,1575,2473,3281,1574,39794,17824,1945,2675,3027,10177,21970,3497,4688,4145,9640,1496,684,193,173,228,90,812,281,226,248,57,761650,357552,100400,39965,5528,27090,6440,21377,180479,71181,11400,51051,13607,33240,76673,31241,4992,19961,8902,11577,404098,137149,32085,20876,28394,24370,31424,205382,38959,28789,46340,53179,38115,61567,8142,6265,5764,28841,12555,812631,33327,47524,23874,32152,40049,60764,3940,83302,184731
Alaska,332102,175872,8700,48291,65746,53135,156230,6851,34331,58362,56686,15122,8730,964,2356,4039,1371,6392,646,1860,2003,1883,56906,28200,5493,13596,7317,1794,28706,5042,10904,9902,2858,27446,12301,2142,4010,3741,2408,15145,3324,3665,4118,4038,4289,2058,253,1012,614,179,2231,199,1005,856,171,129921,61107,19064,8586,837,3442,965,5234,32081,15807,1965,4983,2803,6523,9962,5016,455,1696,1394,1401,68814,24270,8113,3510,3428,3269,5950,35836,9695,4794,5921,7432,7994,8708,1530,1050,525,3514,2089,141174,3514,14395,6801,6635,11261,9741,1225,13660,20877
Arizona,3567127,1741487,221162,414097,585563,520665,1825640,211984,451582,654011,508063,168086,87866,10891,22831,35342,18802,80220,8652,17419,35154,18995,163798,77330,19207,29007,22624,6492,86468,20245,24331,32024,9868,137214,61182,6500,7060,13117,34505,76032,11102,11779,16145,37006,7287,3862,575,1401,1457,429,3425,202,1356,1280,587,1199010,601542,161447,69252,9826,39060,7441,35868,282697,119914,16824,74973,19957,51029,157398,68871,7815,37897,18354,24461,597468,188769,54429,21651,35390,29465,47834,290501,66440,40116,60351,59311,64283,118198,18662,15348,11640,46277,26271,1282158,53401,69837,40966,59582,90303,107082,9706,119241,268659
Arkansas,1589989,769686,112316,278464,210036,168870,820303,106656,280212,249978,183457,273163,124517,24239,53719,32191,14368,148646,27486,46325,50179,24656,12004,5886,1209,2207,1649,821,6118,1055,1955,2272,836,25997,11679,1393,1739,1926,6621,14318,2293,2874,2783,6368,3358,1762,439,908,382,33,1596,461,849,221,65,414099,194357,59094,22906,3732,15389,3318,13749,92345,35067,6177,25731,9451,15919,42918,16986,2206,10930,7012,5784,219742,75976,18133,11557,13978,14581,17727,109263,19475,15735,20657,33903,19493,34503,4035,3764,2724,17227,6753,442152,17689,33652,14586,16487,23721,19842,2106,46585,92149
California,16165553,7961244,1290370,1671120,2369318,2630436,8204309,1253227,1706459,2661543,2583080,1475578,714818,90145,186807,285387,152479,760760,79911,167965,330443,182441,182515,89868,23760,25576,28619,11913,92647,22286,23308,33796,13257,3763433,1722038,194743,241851,403387,882057,2041395,308568,299867,444954,988006,96866,47060,7962,15181,16578,7339,49806,8345,13758,19861,7842,7939184,3906345,1249316,618387,58528,241008,21134,310259,1908489,945468,102743,406951,62961,390366,748540,372972,37739,148997,52844,135988,4032839,1454263,549388,128390,244996,78672,452817,1944063,601350,225597,369849,182518,564749,634513,142576,75897,61016,169679,185345,8470560,432510,539576,288981,438814,869252,816523,66955,670716,1522538
Colorado,3046242,1506508,128577,324489,451321,602121,1539734,110865,327435,488042,613392,132772,71877,7642,20128,27829,16278,60895,6696,13725,25006,15468,30955,15436,3253,4967,4892,2324,15519,2661,3743,6304,2811,103338,45680,5670,6812,9142,24056,57658,9026,10269,11498,26865,4504,2340,184,710,830,616,2164,182,557,940,485,1342007,663775,206417,93357,9044,48029,5158,50829,336281,161382,16230,79173,16515,62981,121077,59092,5761,25658,12556,18010,678232,240620,85152,24083,40402,21485,69498,341224,99771,39407,66056,50572,85418,96388,18789,12653,7529,32667,24750,1464896,72876,102588,60236,79274,124672,115044,12776,118478,279700
Connecticut,1982566,944096,80269,263616,221717,378494,1038470,80529,273438,271442,413061,229285,104602,16555,38513,29531,20003,124683,17814,38449,41899,26521,5694,2829,842,908,635,444,2865,440,786,1234,405,99832,47201,4395,5238,5948,31620,52631,6515,6754,7438,31924,602,250,19,133,18,80,352,67,68,111,106,925607,441828,118721,53599,6113,26673,4167,28169,237884,105602,11545,61212,10930,48595,85223,40203,3569,17425,7508,16518,483779,148963,52870,16433,23631,15813,40216,260375,71313,31960,49044,40612,67446,74441,15435,9193,4525,23881,21407,993365,43715,53621,30543,58254,101449,75031,5175,84374,188835
Delaware,461524,220997,25925,69315,57006,68751,240527,22054,76705,67491,74277,124474,56103,8279,20964,16587,10273,68371,8890,20958,22626,15897,2190,1134,256,352,291,235,1056,284,291,307,174,22647,10604,782,951,883,7988,12043,1339,1228,1758,7718,268,189,32,99,45,13,79,28,19,7,25,189362,88951,25126,12296,1246,5954,1036,4594,43661,19060,1771,12230,2884,7716,20164,9674,938,4003,2333,3216,100411,33667,10995,4017,6591,5013,7051,50291,12974,7258,10947,9126,9986,16453,3247,2103,1452,5553,4098,202919,9193,12249,9574,9144,14939,16679,2283,18741,42745
Florida,10984459,5296479,654401,1524819,1529849,1587410,5687980,614138,1700811,1800491,1572540,1929347,892342,188346,319958,250687,133351,1037005,184672,317258,334336,200739,37609,19101,4449,5702,5501,3449,18508,3586,5356,6357,3209,359731,159195,18622,27582,32644,80347,200536,31390,38201,42442,88503,6802,3054,288,800,1325,641,3748,449,1320,1369,610,3780148,1855351,446599,179286,25545,125780,17525,98463,885297,357576,56296,258963,53143,159319,523455,214628,26709,147212,56078,78828,1924797,582774,161810,78248,131498,75739,135479,947187,217550,135357,213422,190327,190531,394836,62524,52148,37923,159517,82724,4012326,153738,192338,123743,193092,295840,300048,24918,397512,944121
Georgia,4132490,2013299,281749,564100,523871,643579,2119191,258225,601988,605973,653005,1885972,842659,149252,292534,246513,154360,1043313,148200,285136,358028,251949,16782,8693,2313,2251,2133,1996,8089,1471,2202,2704,1712,238369,111732,12799,17006,18649,63278,126637,20419,23880,21505,60833,2696,1319,145,484,462,228,1377,193,526,497,161,1873484,882363,267582,108970,13682,72175,11619,61136,467976,186222,26126,144386,25286,85956,146805,59279,8443,41569,13672,23842,991121,355918,103413,39213,74354,51330,87608,513491,120267,59940,118589,106868,107827,121712,20082,14782,10561,49147,27140,1986509,99823,104500,57794,93078,140953,137302,10695,174150,473536
