"State","B19001_001","B19001_002","B19001_003","B19001_004","B19001_005","B19001_006","B19001_007","B19001_008","B19001_009","B19001_010","B19001_011","B19001_012","B19001_013","B19001_014","B19001_015","B19001_016","B19001_017","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005"
"Alabama",1848325,182268,129587,119935,118284,109210,102957,92863,91447,76868,146478,173281,201140,125096,66727,62075,50109,43623,50402,29180,44856,55775,"54145",31599,36360,50760,33984,43623,20943,47814,52240,33877
"Alaska",250969,9503,8611,8859,9715,8504,9598,9766,11090,8587,18269,27537,37480,28549,18824,20786,15291,72515,79475,51944,45997,64466,"50250",57306,58370,80056,60540,72515,42244,74653,83370,53373
"Arizona",2412212,185629,125386,130674,137391,131797,135872,120537,125232,107215,202142,244371,285636,183806,104914,99975,91635,50255,52015,39483,31593,66274,"47056",36669,46092,55800,39020,50255,25660,53913,59446,40550
"Arkansas",1138025,104645,85977,78308,79037,70859,70216,61971,59437,51258,94357,106582,113603,68160,35415,30720,27480,41371,44827,26731,34888,59872,"31405",33892,34814,45346,34589,41371,22602,46070,48902,32359
"California",12717801,742545,646023,595038,611018,561338,573263,526748,525734,476229,920488,1197858,1542550,1146828,755700,886811,1009630,61818,64803,43087,45490,79260,"60717",45252,59807,72741,47393,61818,29406,64784,74230,45103
"Colorado",2024468,119023,83049,86030,96028,90341,98142,89975,93977,83738,161270,209934,267561,186969,115272,125268,117891,60629,62679,42150,40458,66237,"56099",39594,50043,66208,42774,60629,28819,64809,73492,44046
"Connecticut",1352583,78177,52344,56078,56122,52008,52407,48860,50637,47344,93751,125656,173741,132904,91917,109075,131562,70331,76242,42917,43867,89755,"51071",35700,53409,79565,40059,70331,30327,73439,88279,45613
"Delaware",344022,19788,13238,15159,15872,15957,16477,15386,15826,14306,28519,36940,46953,31843,19793,20520,17445,60509,64493,47242,39663,88009,,39620,48161,65434,45698,60509,32040,65343,71964,44924
"Florida",7300494,566780,409233,434008,451883,424956,422183,387580,377305,328374,604552,722450,806959,507534,281061,278520,297116,47507,50308,34664,39723,61880,"49170",39489,43481,52510,40851,47507,25292,50817,55981,38168
"Georgia",3574362,309272,203138,196729,203990,189444,191684,176305,176083,151180,287912,354485,407295,264418,154213,155790,152424,49620,56615,36655,37373,65611,"35595",35576,46768,57966,38784,49620,23542,51779,59082,37223
"Hawaii",450572,25611,15484,15798,16968,16125,16803,16979,17931,17187,34065,49308,64097,50779,30860,34172,28405,69515,67986,62115,44688,74800,"57492",52330,67844,69834,56637,69515,38129,70065,80710,58462
"Idaho",589320,41274,32270,34210,35627,35093,37063,31396,32671,28268,51802,64825,70636,40080,21204,17682,15219,47583,48175,37928,35663,55525,"29931",34565,37608,49061,38085,47583,25191,51623,57801,36021
"Illinois",4786388,343101,217426,238477,238802,219983,229746,212017,211604,186448,369853,481803,609496,420268,256237,272382,278745,57574,62517,33730,41280,76810,"59615",44993,48568,64353,47082,57574,24913,62573,70763,39010
"Indiana",2501937,181044,134385,144148,143227,139796,144382,132230,131493,116715,216377,269243,310646,186356,99130,81975,70790,49255,51721,30349,35439,54246,"33456",35903,38200,52006,39712,49255,23865,53403,59949,36339
"Iowa",1236409,76474,63657,63600,65899,65344,66122,60143,64876,53283,108108,139750,168910,100945,53925,46153,39220,53183,54310,28670,28342,56976,"49375",39397,40563,54717,40387,53183,26513,60591,65595,36946
"Kansas",1113472,71873,55880,57220,60460,61423,60206,56664,56527,50416,96047,118954,140436,91017,50439,44863,41047,52205,54125,33677,40660,59365,"61250",40069,41030,55420,40117,52205,26074,56845,65203,38359
"Kentucky",1708499,169393,118615,111258,107104,97350,95848,87572,85836,74297,137313,167512,187643,112769,61179,49845,44965,43740,45320,29358,30729,62948,"36290",33825,37063,45475,35672,43740,23213,50343,51615,32538
"Louisiana",1727919,177658,118936,114567,105117,94858,93013,80587,78503,69667,125217,154956,188830,126367,71409,67770,60464,45047,54971,27756,41029,54313,"60577",38553,37570,55479,42637,45047,21958,51010,53485,32024
"Maine",553284,38574,35182,32906,31730,31652,31618,26805,26780,24562,46623,58273,70627,40888,21433,18808,16823,49331,49834,23453,28452,51657,,58125,38941,49915,41535,49331,27980,54649,58819,35052
"Maryland",2166389,110926,71461,72143,77057,75241,81026,74896,81390,74496,157046,213134,289546,229524,164688,194589,199226,74551,83055,59021,53949,93936,"66786",58026,71257,84120,62463,74551,33371,77006,90541,51162
"Massachusetts",2549721,155390,131036,112477,104837,94682,101420,90173,91231,84736,171752,231208,317568,252550,177324,206541,226796,68563,73005,42959,38286,78996,"80658",32972,50484,74905,36171,68563,30927,77341,84898,40573
"Michigan",3841148,308959,209973,221352,219360,206748,213820,193091,191095,169750,315267,393422,457326,289731,164120,154454,132680,49576,52937,29678,38034,74517,"47201",37344,36354,53303,39571,49576,22455,53669,60516,37528
"Minnesota",2124745,115278,91552,93858,98081,92597,96128,93030,95796,86530,172111,230724,299651,203565,123159,121202,111483,61492,63941,30314,33444,66780,"47619",39833,45869,64485,42227,61492,30194,68946,75401,39538
"Mississippi",1096593,125220,84452,81465,71848,67345,64507,56773,56194,45248,85315,100916,109937,63375,32706,27664,23628,39665,49091,26549,32240,52727,,32333,35270,49333,37488,39665,21140,43051,46112,30106
"Missouri",2364688,183869,136992,136028,140118,132724,136105,123696,123129,105015,199672,241259,278977,168941,93608,88357,76198,48173,50979,31977,36376,60908,"42088",32187,38596,51135,38712,48173,23866,53406,58357,35633
