"ZIP","B19001_001","B19001_002","B19001_003","B19001_004","B19001_005","B19001_006","B19001_007","B19001_008","B19001_009","B19001_010","B19001_011","B19001_012","B19001_013","B19001_014","B19001_015","B19001_016","B19001_017","B19001A_001","B19001A_002","B19001A_003","B19001A_004","B19001A_005","B19001A_006","B19001A_007","B19001A_008","B19001A_009","B19001A_010","B19001A_011","B19001A_012","B19001A_013","B19001A_014","B19001A_015","B19001A_016","B19001A_017","B19001B_001","B19001B_002","B19001B_003","B19001B_004","B19001B_005","B19001B_006","B19001B_007","B19001B_008","B19001B_009","B19001B_010","B19001B_011","B19001B_012","B19001B_013","B19001B_014","B19001B_015","B19001B_016","B19001B_017","B19001C_001","B19001C_002","B19001C_003","B19001C_004","B19001C_005","B19001C_006","B19001C_007","B19001C_008","B19001C_009","B19001C_010","B19001C_011","B19001C_012","B19001C_013","B19001C_014","B19001C_015","B19001C_016","B19001C_017","B19001D_001","B19001D_002","B19001D_003","B19001D_004","B19001D_005","B19001D_006","B19001D_007","B19001D_008","B19001D_009","B19001D_010","B19001D_011","B19001D_012","B19001D_013","B19001D_014","B19001D_015","B19001D_016","B19001D_017","B19060_001","B19060_002","B19060_003","B19061_001","B19062_001","B19063_001","B19064_001","B19065_001","B19066_001","B19067_001","B19069_001","B19083_001","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B19313_001","B19313A_001","B19313B_001","B19313C_001","B19313D_001","B19313E_001","B19313F_001","B19313G_001","B19313H_001","B19313I_001"
"79314",42,0,10,7,0,2,0,4,0,0,0,6,5,3,0,5,0,42,0,10,7,0,2,0,4,0,0,0,6,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,31,"1585500","1222400",,"37700","332300",".",".","217100","0.4665","27836","27836",".",".",".",".",".",".","40422","12453","2783600","2783600",".",".",".",".",".",".","2223200","560400"
"75656",1726,191,93,80,139,193,61,41,139,113,66,159,228,156,29,6,32,1485,148,90,60,97,183,61,26,135,103,41,159,164,156,24,6,32,182,31,3,20,31,7,0,15,4,10,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,96,1630,"71705800","66124500","5581200","1043100","11643000","632600","117300","4012700","0.4285","19911","21770","15159",,,,"7261","11443","21962","8738","94994000","81113900","9989800",,,,"1779000","1361700","80577400","2569100"
"78401",1807,402,191,112,216,118,128,165,48,50,71,104,46,51,58,9,38,1523,289,120,112,201,118,122,108,48,50,61,104,46,39,58,9,38,116,55,34,0,15,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,142,1665,"54519100","43608200","10910900","12275100","8847300","2759000","131000","6263000","0.5988","19618","20835","11504",".",,,"14801","20928","37889","12874","101937300","92196400","5257200",".",".",,"4055500","376700","53915500","41813200"
"79565",96,6,1,4,0,1,0,4,7,2,20,14,12,11,8,0,6,84,0,1,4,0,1,0,4,7,2,20,14,7,11,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,9,87,"6357300","4697900","1659300","253700","511500",".",".","172400","0.3580","31289","32247",".",,".",".","23550",,"34104","21571","7822200","7320000",".",".",".",".","376800",,"6445700","1251100"
"76309",5174,293,423,358,458,224,322,309,241,184,521,586,470,338,117,183,147,4572,203,362,315,384,208,277,262,212,167,490,537,417,318,117,166,137,257,48,50,14,10,10,18,43,11,0,10,17,26,0,0,0,0,38,0,0,0,0,0,0,0,18,0,0,7,13,0,0,0,0,40,0,0,0,0,0,0,0,0,9,0,8,0,10,0,13,0,5174,806,4368,"261906100","218871800","43033200","9913800","24683200","1842900","55900","22819800","0.4847","25073","27734","10327","16455","38670",".","14630","4574","32948","12000","331621200","303886300","9252700","1464500","3789700",".","11352600","1875500","271225100","46140800"
"78104",39,0,0,0,0,0,21,0,0,0,0,8,10,0,0,0,0,37,0,0,0,0,0,21,0,0,0,0,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,15,24,"1476500","1441400",,,"322000",".",".",,"0.2357","18239","17522",,".",".",".",".",".","13332","26182","2553500","2418100",,".",".",".",".",".","1239900","1178200"
"75287",26958,1809,1057,1108,1422,1406,1834,1534,2002,1776,2643,3224,2552,1487,674,944,1486,14893,956,345,583,642,615,863,871,876,959,1454,1972,1503,902,466,660,1226,7697,696,424,360,403,528,739,368,775,636,813,755,535,396,91,91,87,21,0,0,0,0,3,0,3,0,0,0,6,9,0,0,0,0,1613,126,117,49,94,36,31,71,88,47,112,165,240,71,42,171,153,26958,2391,24567,"1706001300","1620252200","85747600","86213200","39367600","3474700","958300","39019900","0.4779","36882","42695","27748","33260","51464","66068","20492","24330","49387","19855","1938473300","1194853500","392492000","1164100","204157700","4690800","72090000","69025300","1069182400","201821300"
"75124",1444,115,54,47,112,52,51,173,100,53,117,116,206,135,71,42,0,1408,115,54,47,103,52,46,167,100,53,117,103,203,135,71,42,0,13,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,165,1279,"59945300","55477000","4468300","3049300","11300100","1479900","42500","6336200","0.3790","22552","22570","13131",".",".",".",,"32605","23040","8736","92081100","89985300","512100",".",".",".",,"1434600","88841300","1293000"
"77484",3817,269,95,168,249,85,422,54,103,189,193,411,590,445,196,170,178,3340,174,95,162,214,82,349,54,88,148,193,378,530,409,185,127,152,285,67,0,0,35,0,52,0,0,20,0,23,41,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,26,3817,251,3566,"252849500","226822900","26026500","5552800","20470200","710500","185200","13300200","0.4359","26617","28208","17713",,"45067",".","11160","9911","34701","11517","306416300","277337900","14612900",,"6985400",".","4943900","2448100","244884000","37489000"
"79252",1253,145,141,146,74,49,69,71,55,35,95,77,186,75,8,10,17,1064,116,78,133,60,49,46,71,55,35,89,45,186,66,8,10,17,144,29,63,13,6,0,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,172,1081,"39141200","35647500","3493600","2371300","8041300","1038400","31600","5463800","0.4585","20009","21392","11481",".",,".","15283","17268","22676","14844","59125600","52901600","3547600",".",,".","1451900","1191500","48389900","7155000"
