"State","edu.white","edu.white.male","edu.white.male.lessGED","edu.white.male.GED","edu.white.male.somecollege","edu.white.male.bachelors","edu.white.female","edu.white.female.lessGED","edu.white.female.GED","edu.white.female.somecollege","edu.white.female.bachelors","edu.black","edu.black.male","edu.black.male.lessGED","edu.black.male.GED","edu.black.male.somecollege","edu.black.male.bachelors","edu.black.female","edu.black.female.lessGED","edu.black.female.GED","edu.black.female.somecollege","edu.black.female.bachelors","edu.americanindian","edu.americanindian.male","edu.americanindian.male.lessGED","edu.americanindian.male.GED","edu.americanindian.male.somecollege","edu.americanindian.male.bachelors","edu.americanindian.female","edu.americanindian.female.lessGED","edu.americanindian.female.GED","edu.americanindian.female.somecollege","edu.americanindian.female.bachelors","edu.asian","edu.asian.male","edu.asian.male.lessGED","edu.asian.male.GED","edu.asian.male.somecollege","edu.asian.male.bachelors","edu.asian.female","edu.asian.female.lessGED","edu.asian.female.GED","edu.asian.female.somecollege","edu.asian.female.bachelors","edu.pacificislander","edu.pacificislander.male","edu.pacificislander.male.lessGED","edu.pacificislander.male.GED","edu.pacificislander.male.somecollege","edu.pacificislander.male.bachelors","edu.pacificislander.female","edu.pacificislander.female.lessGED","edu.pacificislander.female.GED","edu.pacificislander.female.somecollege","edu.pacificislander.female.bachelors"
"Alabama",2326653,1121817,166393,342861,315136,297427,1204836,158459,369571,372012,304794,790044,350847,76902,133600,96601,43744,439197,78164,130917,148165,81951,16476,7573,1663,2226,2385,1299,8903,1575,2473,3281,1574,39794,17824,1945,2675,3027,10177,21970,3497,4688,4145,9640,1496,684,193,173,228,90,812,281,226,248,57
"Alaska",332102,175872,8700,48291,65746,53135,156230,6851,34331,58362,56686,15122,8730,964,2356,4039,1371,6392,646,1860,2003,1883,56906,28200,5493,13596,7317,1794,28706,5042,10904,9902,2858,27446,12301,2142,4010,3741,2408,15145,3324,3665,4118,4038,4289,2058,253,1012,614,179,2231,199,1005,856,171
"Arizona",3567127,1741487,221162,414097,585563,520665,1825640,211984,451582,654011,508063,168086,87866,10891,22831,35342,18802,80220,8652,17419,35154,18995,163798,77330,19207,29007,22624,6492,86468,20245,24331,32024,9868,137214,61182,6500,7060,13117,34505,76032,11102,11779,16145,37006,7287,3862,575,1401,1457,429,3425,202,1356,1280,587
"Arkansas",1589989,769686,112316,278464,210036,168870,820303,106656,280212,249978,183457,273163,124517,24239,53719,32191,14368,148646,27486,46325,50179,24656,12004,5886,1209,2207,1649,821,6118,1055,1955,2272,836,25997,11679,1393,1739,1926,6621,14318,2293,2874,2783,6368,3358,1762,439,908,382,33,1596,461,849,221,65
"California",16165553,7961244,1290370,1671120,2369318,2630436,8204309,1253227,1706459,2661543,2583080,1475578,714818,90145,186807,285387,152479,760760,79911,167965,330443,182441,182515,89868,23760,25576,28619,11913,92647,22286,23308,33796,13257,3763433,1722038,194743,241851,403387,882057,2041395,308568,299867,444954,988006,96866,47060,7962,15181,16578,7339,49806,8345,13758,19861,7842
"Colorado",3046242,1506508,128577,324489,451321,602121,1539734,110865,327435,488042,613392,132772,71877,7642,20128,27829,16278,60895,6696,13725,25006,15468,30955,15436,3253,4967,4892,2324,15519,2661,3743,6304,2811,103338,45680,5670,6812,9142,24056,57658,9026,10269,11498,26865,4504,2340,184,710,830,616,2164,182,557,940,485
"Connecticut",1982566,944096,80269,263616,221717,378494,1038470,80529,273438,271442,413061,229285,104602,16555,38513,29531,20003,124683,17814,38449,41899,26521,5694,2829,842,908,635,444,2865,440,786,1234,405,99832,47201,4395,5238,5948,31620,52631,6515,6754,7438,31924,602,250,19,133,18,80,352,67,68,111,106
"Delaware",461524,220997,25925,69315,57006,68751,240527,22054,76705,67491,74277,124474,56103,8279,20964,16587,10273,68371,8890,20958,22626,15897,2190,1134,256,352,291,235,1056,284,291,307,174,22647,10604,782,951,883,7988,12043,1339,1228,1758,7718,268,189,32,99,45,13,79,28,19,7,25
"Florida",10984459,5296479,654401,1524819,1529849,1587410,5687980,614138,1700811,1800491,1572540,1929347,892342,188346,319958,250687,133351,1037005,184672,317258,334336,200739,37609,19101,4449,5702,5501,3449,18508,3586,5356,6357,3209,359731,159195,18622,27582,32644,80347,200536,31390,38201,42442,88503,6802,3054,288,800,1325,641,3748,449,1320,1369,610
"Georgia",4132490,2013299,281749,564100,523871,643579,2119191,258225,601988,605973,653005,1885972,842659,149252,292534,246513,154360,1043313,148200,285136,358028,251949,16782,8693,2313,2251,2133,1996,8089,1471,2202,2704,1712,238369,111732,12799,17006,18649,63278,126637,20419,23880,21505,60833,2696,1319,145,484,462,228,1377,193,526,497,161
