"State","med.inc.total","med.inc.white","med.inc.black","med.inc.americanindian","med.inc.asian","med.inc.pacificislander","med.inc.other","med.inc.age.total","med.inc.age.under25","med.inc.age.25to44","med.inc.age.45to64","med.inc.age.65over"
"Alabama",43623,50402,29180,44856,55775,"54145",31599,43623,20943,47814,52240,33877
"Alaska",72515,79475,51944,45997,64466,"50250",57306,72515,42244,74653,83370,53373
"Arizona",50255,52015,39483,31593,66274,"47056",36669,50255,25660,53913,59446,40550
"Arkansas",41371,44827,26731,34888,59872,"31405",33892,41371,22602,46070,48902,32359
"California",61818,64803,43087,45490,79260,"60717",45252,61818,29406,64784,74230,45103
"Colorado",60629,62679,42150,40458,66237,"56099",39594,60629,28819,64809,73492,44046
"Connecticut",70331,76242,42917,43867,89755,"51071",35700,70331,30327,73439,88279,45613
"Delaware",60509,64493,47242,39663,88009,,39620,60509,32040,65343,71964,44924
"Florida",47507,50308,34664,39723,61880,"49170",39489,47507,25292,50817,55981,38168
"Georgia",49620,56615,36655,37373,65611,"35595",35576,49620,23542,51779,59082,37223
"Hawaii",69515,67986,62115,44688,74800,"57492",52330,69515,38129,70065,80710,58462
"Idaho",47583,48175,37928,35663,55525,"29931",34565,47583,25191,51623,57801,36021
"Illinois",57574,62517,33730,41280,76810,"59615",44993,57574,24913,62573,70763,39010
"Indiana",49255,51721,30349,35439,54246,"33456",35903,49255,23865,53403,59949,36339
"Iowa",53183,54310,28670,28342,56976,"49375",39397,53183,26513,60591,65595,36946
"Kansas",52205,54125,33677,40660,59365,"61250",40069,52205,26074,56845,65203,38359
"Kentucky",43740,45320,29358,30729,62948,"36290",33825,43740,23213,50343,51615,32538
"Louisiana",45047,54971,27756,41029,54313,"60577",38553,45047,21958,51010,53485,32024
"Maine",49331,49834,23453,28452,51657,,58125,49331,27980,54649,58819,35052
"Maryland",74551,83055,59021,53949,93936,"66786",58026,74551,33371,77006,90541,51162
"Massachusetts",68563,73005,42959,38286,78996,"80658",32972,68563,30927,77341,84898,40573
"Michigan",49576,52937,29678,38034,74517,"47201",37344,49576,22455,53669,60516,37528
"Minnesota",61492,63941,30314,33444,66780,"47619",39833,61492,30194,68946,75401,39538
"Mississippi",39665,49091,26549,32240,52727,,32333,39665,21140,43051,46112,30106
"Missouri",48173,50979,31977,36376,60908,"42088",32187,48173,23866,53406,58357,35633
"Montana",47169,48639,31074,29150,51704,"26786",36369,47169,26228,53830,55327,36068
"Nebraska",52997,55089,29967,25739,50787,"46000",41516,52997,27413,57822,66338,37642
"Nevada",51847,54533,37566,42104,60329,"45743",42110,51847,31894,53832,59830,41407
"New Hampshire",66779,67020,50103,37026,79577,"128667",41839,66779,34668,73712,80828,43306
"New Jersey",72093,77698,46546,36941,104575,"53944",44075,72093,32553,77539,88616,45338
"New Mexico",44963,47975,38146,30841,58780,"38875",33594,44963,23694,46883,53642,36724
"New York",59269,66256,41615,36913,63018,"38639",36170,59269,28708,65682,70792,38929
"North Carolina",46868,52157,32798,32544,68866,"39514",32036,46868,24575,50479,55715,35696
"North Dakota",57181,59573,29525,30833,44743,,55071,57181,32414,67001,72750,36043
"Ohio",49429,52809,28003,32272,68818,"44201",36716,49429,22472,54538,60736,35908
"Oklahoma",46879,50096,30560,39271,53308,"41875",37003,46879,26419,51463,56056,35663
"Oregon",51243,52025,32481,34531,64623,"37129",39671,51243,24634,55954,61443,39448
"Pennsylvania",53599,56927,32493,33066,65013,"36477",31138,53599,24941,61038,66204,35745
"Rhode Island",56852,61402,36209,25082,53441,,32751,56852,26138,60990,72675,37845
"South Carolina",45483,52447,30221,31769,55313,"31086",33951,45483,23203,49470,52874,36307
"South Dakota",50957,53191,31758,25708,47699,"53209",36104,50957,28935,56563,62700,35989
"Tennessee",45219,48385,32344,36748,66331,"42647",32193,45219,23545,49543,53426,34415
"Texas",53207,56411,39345,47841,75796,"52859",39561,53207,27105,56464,64283,38750
"Utah",60727,62276,38900,36428,61124,"50918",41110,60727,31681,62780,75534,44764
"Vermont",55176,55481,50417,40167,55179,,54185,55176,31220,62021,65064,38174
"Virginia",65015,70032,44562,54031,94896,"89125",51932,65015,30348,70275,79146,45104
"Washington",61062,62337,42200,40216,74914,"52165",40538,61062,30641,66119,73757,43521
"West Virginia",41751,42230,29202,24278,57500,"36375",42000,41751,20111,49390,49024,31776
"Wisconsin",53357,55904,27099,37492,57785,"35588",35125,53357,26345,59541,66258,36141
"Wyoming",58840,60203,38958,42326,38762,"131176",41511,58840,31339,66650,71602,39193
