"","X1","YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","Latitude","Longitude","LocationId","State"
"1",655,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",26.9,20.54,34.47,"Did not currently use marijuana",73.1,65.53,79.46,140,"Male","Total","10th","64.84507995700051"," -147.72205903599973","02","Alaska"
"2",679,2013,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",16,8.47,28.24,"Did not currently use marijuana",84,71.76,91.53,158,"Male","Asian","11th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"3",928,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",21.6,14.14,31.43,"Did not currently use marijuana",78.4,68.57,85.86,149,"Total","Hispanic or Latino","9th","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"4",1231,2001,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.6,10.7,36.03,"Did not currently use marijuana",79.4,63.97,89.3,465,"Female","Hispanic or Latino","10th","31.827240407000488"," -99.42677020599967","48","Texas"
"5",2022,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",17.1,13.44,21.52,"Did not currently use marijuana",82.9,78.48,86.56,1205,"Total","Total","11th","44.6613195430005"," -84.71439026999968","26","Michigan"
"6",2278,1997,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",10,5.85,16.6,"Did not currently use marijuana",90,83.4,94.15,105,"Female","Asian","Total","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"7",2796,1993,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",11.2,7.98,15.56,"Did not currently use marijuana",88.8,84.44,92.02,796,"Total","White","11th","44.39319117400049"," -89.81637074199966","55","Wisconsin"
"8",2911,2015,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",20.5,16.86,24.78,"Did not currently use marijuana",79.5,75.22,83.14,309,"Female","Hispanic or Latino","10th","28.932040377000476"," -81.92896053899966","12","Florida"
"9",3241,1991,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",7.7,5.44,10.87,"Did not currently use marijuana",92.3,89.13,94.56,539,"Total","Total","11th","32.84057112200048"," -86.63186076199969","01","Alabama"
"10",3470,2001,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",21.5,13.85,31.84,"Did not currently use marijuana",78.5,68.16,86.15,156,"Total","Black or African American","11th","39.008830667000495"," -75.57774116799965","10","Delaware"
"11",4211,2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",19,11.52,29.77,"Did not currently use marijuana",81,70.23,88.48,183,"Female","Total","9th","38.66551020200046"," -80.71264013499967","54","West Virginia"
"12",4437,1999,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",33.7,30.7,36.94,"Did not currently use marijuana",66.3,63.06,69.3,7016,"Total","Total","Total","43.62538123900049"," -72.51764079099962","50","Vermont"
