"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
1995,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,29.2,22.36,37.13,"Were trying to lose weight",70.8,62.87,77.64,339,"Female","White","9th","(42.27687047000046, -72.08269067499964)","OOW01","WTC01","H70","25","State","Massachusetts"
2013,"Physical Activity","Physical Activity","Physical activity","Did not participate in at least 60 minutes of physical activity on at least 1 day","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",18.7,7.25,40.34,"Participated in at least 60 minutes of physical activity on at least 1 day",81.3,59.66,92.75,159,"Female","Hispanic or Latino","10th","(39.493240390000494, -117.07184056399967)","PHA01","PAC01","QNPA0DAY","32","State","Nevada"
2011,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",14,9.58,19.89,"Did not currently smoke cigars",86,80.11,90.42,478,"Female","White","Total","(32.83968109300048, -83.62758034599966)","TUS01","OTU01","H38","13","State","Georgia"
1997,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",4.8,2.89,8.02,"Never used cocaine",95.2,91.98,97.11,381,"Female","White","10th","(32.84057112200048, -86.63186076199969)","AOD01","ODU01","H50","01","State","Alabama"
2009,"Dietary Behaviors","Vegetables","Vegetable eating >=1 time","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",34.7,32.21,37.19,"Ate vegetables one or more times per day",65.3,62.81,67.79,1044,"Male","Total","Total","(43.682630005000476, -114.3637300419997)","DBH01","VEG01","QNVEG1","16","State","Idaho"
2009,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",10.5,6.4,16.78,"Did not attempt suicide",89.5,83.22,93.6,233,"Female","White","Total","(33.998821303000454, -81.04537120699968)","UIV01","SRB01","H29","45","State","South Carolina"
1997,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Seat belt use","Never or rarely wore a seat belt","when riding in a car driven by someone else",32.3,26.18,39.09,"Sometimes, most of the time, or always wore a seat belt",67.7,60.91,73.82,572,"Male","Total","9th","(42.27687047000046, -72.08269067499964)","UIV01","UIN01","H9","25","State","Massachusetts"
2001,"Alcohol and Other Drug Use","Other Drug Use","Initiation of marijuana use","Tried marijuana before age 13 years","for the first time",11.3,9.07,14.11,"Did not try marijuana before age 13 years",88.7,85.89,90.93,1075,"Total","Total","10th","(42.27687047000046, -72.08269067499964)","AOD01","ODU01","H48","25","State","Massachusetts"
1991,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",17.2,13.71,21.3,"Did not smoke a whole cigarette before age 13 years",82.8,78.7,86.29,838,"Total","White","10th","(39.360700171000474, -111.58713063499971)","TUS01","CIG01","H32","49","State","Utah"
1997,"Obesity, Overweight, and Weight Control","Weight Control","Weight loss","Were not trying to lose weight",,53.9,48.59,59.08,"Were trying to lose weight",46.1,40.92,51.41,438,"Total","White","9th","(37.645970271000465, -84.77497104799966)","OOW01","WTC01","H70","21","State","Kentucky"
2005,"Sexual Behaviors","Sexual Behaviors","Condom use","Did not use a condom","during last sexual intercourse, among students who were currently sexually active",26.7,20.66,33.81,"Used a condom",73.3,66.19,79.34,210,"Total","Total","9th","(37.645970271000465, -84.77497104799966)","SBH01","SXB01","H65","21","State","Kentucky"
2013,"Dietary Behaviors","Breakfast","Breakfast eating","Did not eat breakfast","during the 7 days before the survey",13.4,8.02,21.67,"Ate breakfast on one or more days",86.6,78.33,91.98,117,"Male","Asian","9th","(42.82700103200045, -75.54397042699964)","DBH01","BRK01","H79","36","State","New York"
2005,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Sad or hopeless","Felt sad or hopeless","almost every day for 2 or more weeks in a row so that they stopped doing some usual activities during the 12 months before the survey",25,21.27,29.14,"Did not feel sad or hopeless",75,70.86,78.73,286,"Total","Total","11th","(43.65595011300047, -71.50036091999965)","UIV01","SRB01","H26","33","State","New Hampshire"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever heroin use","Ever used heroin","also called ""smack,"" ""junk,"" or ""China white,"" one or more times during their life",1.8,0.76,4.08,"Never used heroin",98.2,95.92,99.24,357,"Female","Total","11th","(47.06652897200047, -109.42442064499971)","AOD01","ODU01","H52","30","State","Montana"
2009,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",1,0.45,2.31,"Did not currently smoke cigarettes daily",99,97.69,99.55,349,"Total","Asian","11th","(42.82700103200045, -75.54397042699964)","TUS01","CIG01","QNDAYCIG","36","State","New York"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",12.8,8.08,19.7,"Were not in a physical fight",87.2,80.3,91.92,138,"Female","White","10th","(34.74865012400045, -92.27449074299966)","UIV01","VIO01","H18","05","State","Arkansas"
2013,"Dietary Behaviors","Soda or pop","Soda drinking >= 3 times","Drank a can, bottle, or glass of soda or pop three or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",5.4,3.79,7.61,"N/A",94.6,92.39,96.21,658,"Female","White","Total","(39.008830667000495, -75.57774116799965)","DBH01","POP01","QNSODA3","10","State","Delaware"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever prescription drug use","Ever took prescription drugs without a doctor's prescription","such as Oxycontin, Percocet, Vicodin, codeine, Adderall, Ritalin, or Xanax, one or more times during their life",21.6,12.77,34.25,"Never took prescription drugs without a doctor's prescription",78.4,65.75,87.23,152,"Male","White","12th","(44.6613195430005, -84.71439026999968)","AOD01","ODU01","H57","26","State","Michigan"
2015,"Dietary Behaviors","Fruit and fruit juices","Fruit consumption >= 2 times","N/A","during the 7 days before the survey",71,63.84,77.32,"Ate fruit or drank 100% fruit juices two or more times per day",29,22.68,36.16,288,"Male","Total","12th","(40.79373015200048, -77.86070029399963)","DBH01","FFJ01","QNFR2","42","State","Pennsylvania"
2015,"Physical Activity","Physical Activity","Physical activity >= 5 days","Were not physically active at least 60 minutes per day on 5 or more days","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",63.4,60.3,66.35,"Were physically active at least 60 minutes per day on 5 or more days",36.6,33.65,39.7,1826,"Female","Total","11th","(43.65595011300047, -71.50036091999965)","PHA01","PAC01","H80","33","State","New Hampshire"
2009,"Dietary Behaviors","Vegetables","No vegetable eating","Did not eat vegetables","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",9.3,5.58,14.97,"Ate vegetables",90.7,85.03,94.42,199,"Male","Total","11th","(32.83968109300048, -83.62758034599966)","DBH01","VEG01","QNVEG0","13","State","Georgia"
2011,"Dietary Behaviors","Soda or pop","Soda drinking >= 2 times","Drank a can, bottle, or glass of soda or pop two or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",34.6,25.39,45.14,"N/A",65.4,54.86,74.61,130,"Female","Black or African American","9th","(35.68094058000048, -85.77449091399967)","DBH01","POP01","QNSODA2","47","State","Tennessee"
2013,"Physical Activity","Physical Activity","Computer use","Played video or computer games or used a computer 3 or more hours per day","for something that was not school work on an average school day",36.5,32.48,40.68,"Did not play video or computer games or use a computer 3 or more hours per day",63.5,59.32,67.52,1002,"Male","Total","Total","(47.47531977900047, -100.11842104899966)","PHA01","PAC01","H82","38","State","North Dakota"
2013,"Tobacco Use","Other Tobacco Use","Current cigarette, cigar, or smokeless tobacco use","Currently used cigarettes, cigars, or smokeless tobacco","on at least 1 day during the 30 days before the survey",11.9,9.6,14.62,"N/A",88.1,85.38,90.4,572,"Total","Asian","12th","(39.29058096400047, -76.60926011099963)","TUS01","OTU01","QNTOB3","24","State","Maryland"
2011,"Sexual Behaviors","Sexual Behaviors","No birth control use","Did not use any method to prevent pregnancy","during last sexual intercourse, among students who were currently sexually active",5.4,2.23,12.38,"N/A",94.6,87.62,97.77,122,"Female","Total","9th","(43.62538123900049, -72.51764079099962)","SBH01","SXB01","QNBCNONE","50","State","Vermont"
2009,"Dietary Behaviors","Fruit and fruit juices","No fruit consumption","Did not eat fruit or drink 100% fruit juices","during the 7 days before the survey",1.5,0.38,6.03,"Ate fruit or drank 100% fruit juices",98.5,93.97,99.62,130,"Female","White","11th","(38.34774030000045, -98.20078122699965)","DBH01","FFJ01","QNFR0","20","State","Kansas"
2001,"Sexual Behaviors","Sexual Behaviors","Sex before 13 years","Had sexual intercourse before age 13 years","for the first time",9.6,6.19,14.45,"Did not have sexual intercourse before age 13 years",90.4,85.55,93.81,344,"Male","White","Total","(39.493240390000494, -117.07184056399967)","SBH01","SXB01","H61","32","State","Nevada"
